+8.75000E-1	+NaN
+2.62500E+0	+NaN
+4.37500E+0	+NaN
+6.12500E+0	+NaN
+7.87500E+0	+NaN
+9.62500E+0	+NaN
+1.13750E+1	+NaN
+1.31250E+1	+NaN
+1.48750E+1	+NaN
+1.66250E+1	+NaN
+1.83750E+1	+NaN
+2.01250E+1	+NaN
+2.18750E+1	+NaN
+2.36250E+1	+NaN
+2.53750E+1	+NaN
+2.71250E+1	+NaN
+2.88750E+1	+NaN
+3.06250E+1	+NaN
+3.23750E+1	+NaN
+3.41250E+1	+NaN
+3.58750E+1	+NaN
+3.76250E+1	+NaN
+3.93750E+1	+NaN
+4.11250E+1	+NaN
+4.28750E+1	+NaN
+4.46250E+1	+NaN
+4.63750E+1	+NaN
+4.81250E+1	+NaN
+4.98750E+1	+NaN
+5.16250E+1	+NaN
+5.33750E+1	+NaN
+5.51250E+1	+NaN
+5.68750E+1	+NaN
+5.86250E+1	+NaN
+6.03750E+1	+NaN
+6.21250E+1	+NaN
+6.38750E+1	+NaN
+6.56250E+1	+NaN
+6.73750E+1	+NaN
+6.91250E+1	+NaN
+7.08750E+1	+NaN
+7.26250E+1	+NaN
+7.43750E+1	+NaN
+7.61250E+1	+NaN
+7.78750E+1	+NaN
+7.96250E+1	+NaN
+8.13750E+1	+NaN
+8.31250E+1	+NaN
+8.48750E+1	+NaN
+8.66250E+1	+NaN
+8.83750E+1	+NaN
+9.01250E+1	+NaN
+9.18750E+1	+NaN
+9.36250E+1	+NaN
+9.53750E+1	+5.83538E+1
+9.71250E+1	-9.90585E+1
+9.88750E+1	-9.67947E+1
+1.00625E+2	-9.38684E+1
+1.02375E+2	-9.42237E+1
+1.04125E+2	-8.92789E+1
+1.05875E+2	-8.79825E+1
+1.07625E+2	-8.39276E+1
+1.09375E+2	-8.01737E+1
+1.11125E+2	-8.14211E+1
+1.12875E+2	-7.80474E+1
+1.14625E+2	-7.48737E+1
+1.16375E+2	-7.04854E+1
+1.18125E+2	-6.79850E+1
+1.19875E+2	-6.29624E+1
+1.21625E+2	-5.72193E+1
+1.23375E+2	-5.55639E+1
+1.25125E+2	-5.00088E+1
+1.26875E+2	-4.63158E+1
+1.28625E+2	-4.74436E+1
+1.30375E+2	-4.30000E+1
+1.32125E+2	-4.07566E+1
+1.33875E+2	-4.04386E+1
+1.35625E+2	-3.72180E+1
+1.37375E+2	-3.24000E+1
+1.39125E+2	-3.65489E+1
+1.40875E+2	-3.12018E+1
+1.42625E+2	-3.54060E+1
+1.44375E+2	-3.32481E+1
+1.46125E+2	-3.59323E+1
+1.47875E+2	-3.88722E+1
+1.49625E+2	-3.82105E+1
+1.51375E+2	-4.06165E+1
+1.53125E+2	-4.55714E+1
+1.54875E+2	-4.87143E+1
+1.56625E+2	-5.36541E+1
+1.58375E+2	-5.47427E+1
+1.60125E+2	-5.52895E+1
+1.61875E+2	-6.03596E+1
+1.63625E+2	-6.35789E+1
+1.65375E+2	-6.73158E+1
+1.67125E+2	-7.10902E+1
+1.68875E+2	-7.66404E+1
+1.70625E+2	-7.93596E+1
+1.72375E+2	-8.05414E+1
+1.74125E+2	-8.70526E+1
